city	state	permalink	created_at	lat	long	color
Ridgewood	NY	ohaxre-ivrganzrfr	02/09/14 19:43	40.713985	-73.921321	blue
Wheaton	IL	yn-onzon-jurngba	02/09/14 20:03	41.888189	-88.10072	blue
West New York	NJ	qhypr-qr-yrpur-onxrel	02/09/14 21:53	40.79371	-74.012342	blue
Fresh Meadows	NY	zvna	02/09/14 22:11	40.739592	-73.789721	blue
Healdsburg	California	nqry-f-erfgnhenag	02/09/14 23:33	38.626249	-122.877222	blue
Greenville	SC	trarivrir-f	02/09/14 23:52	34.847595	-82.401711	blue
Los Angeles	CA	yvggyr-qbz-f	03/09/14 00:00	34.110932	-118.287161	blue
Long Island City	New York	oyiq-jvar-one	03/09/14 14:37	40.745918	-73.957187	blue
Brooklyn	NY	gur-snez-ba-nqqreyrl	03/09/14 15:14	40.639554	-73.967487	blue
Farmington 	MI	snezvatgba-oerjvat-pbzcnal	03/09/14 19:32	42.464985	-83.37609	blue
Bradenton	FL	fzvggl-f-cho-tevyyr	03/09/14 20:35	27.496187	-82.599383	blue
San Francisco	CA	genqvat-cbfg-zbqrea	03/09/14 22:51	37.781883	-122.411323	blue
Olympia	Washington	abezn-f-ohetref-uhg	04/09/14 16:23	47.053501	-122.785511	blue
Olympia	Washington	abezn-f-ohetref-v5	04/09/14 16:24	47.066556	-122.720939	blue
Chicago	IL	gnireavgn-750	04/09/14 19:52	41.94562	-87.649004	blue
Valentine	NE	arba-one-tevyy	04/09/14 20:44	42.868452	-100.558393	blue
Sterling	VA	pureel-oybffbz-erfgnhenag	04/09/14 21:47	39.033088	-77.404796	blue
Alameda	CA	uvtu-fgerrg-fgngvba-pnsr	05/09/14 18:09	37.756493	-122.234171	blue
Chicago	IL	ubevmba-pnsr	05/09/14 18:09	41.951285	-87.649598	blue
Peoria	AZ	wbrl-tvan-f	08/09/14 20:04	33.630093	-112.238292	blue
Chicago	IL	juvgr-bnx-gnirea-vaa	08/09/14 21:19	41.921861	-87.658496	blue
Miami Beach	FL	gnfgl-pnsr	08/09/14 22:19	25.813458	-80.129175	blue
Kent	WA	chawno-fjrrgf	08/09/14 23:43	47.389992	-122.203119	blue
Holland	Michigan	znpngnjn-nyr-pb	09/09/14 16:27	42.793667	-86.109442	blue
Portland	ME	gur-oenzunyy	09/09/14 18:38	43.653634	-70.271601	blue
tucson	Arizona	obpn-gnpbf-l-grdhvyn	10/09/14 17:54	32.235718	-110.958631	blue
Seattle	WA	aryy-f-erfgnhenag	10/09/14 20:59	47.70857	-122.320843	blue
Bristol	RI	puevfgvna-f-jbbq-sverq-tevyy	11/09/14 00:17	41.672252	-71.278411	blue
Brockton	MA	ghggb-orar	11/09/14 18:55	42.052524	-71.066312	blue
Los Angeles	CA	zrybql-ybhatr-yn	11/09/14 19:58	34.065617	-118.23833	blue
Miami Beach	Florida	ubgry-puryfrn-fbhgu-ornpu	12/09/14 17:43	25.780292	-80.133283	blue
Chicago	IL	gur-qevsgre	12/09/14 19:28	41.894624	-87.63742	blue
Denver	CO	qraire-orre-pbzcnal	12/09/14 21:02	39.777048	-105.000748	blue
Los Angeles	CA	nagvthn-phygheny-pbssrr-ubhfr	15/09/14 18:10	34.087367	-118.217482	blue
Miami beach	Fl	oynpx-bepuvq	15/09/14 18:45	25.795289	-80.128764	blue
Corning	NY	unaq-sbbg	15/09/14 20:43	42.144029	-77.057464	blue
