permalink	city	lat	long	created_at	Projet	puissance	color	power
Carl-Zeiss-Stra_e 10	Koblenz Germany	50.3882	7.55834	04/05/16	fastE	150 kW	blue	150
Roggelaan 2	Kortrijk Belgium	50.8174	3.29951	25/10/16	fastE	150 kW	blue	150
Hanomagstra_e 2	Lauenau Germany	52.2788	9.35064	25/07/16	fastE	150 kW	blue	150
Industriestra_e 19	Lauf an der Pegnitz Germany	49.5028	11.2915	30/10/15	fastE	150 kW	blue	150
Str_ngenbach 1	Lippetal Germany	51.6957	7.9664	21/06/16	fastE	150 kW	blue	150
Auf den Bl_cken 7	Lôneburg Germany	53.2389	10.4615	25/04/17	fastE	150 kW	blue	150
Boelckestrasse 78	Mainz-Kastel Germany	50.022	8.28969	04/11/16	fastE	150 kW	blue	150
Dr.-Reimer-Stra_e 2	Malsfeld Germany	51.0869	9.48553	23/06/17	fastE	150 kW	blue	150
Fraunhofer Str. 9	Memmingen-Amendingen Germany	48.0023	10.1672	20/06/17	fastE	150 kW	blue	150
Gewerbestra_e  1	M_ckern Germany	52.2369	12.06	13/04/16	fastE	150 kW	blue	150
Gottesrain 2	Môcke Germany	50.6455	8.99004	16/12/16	fastE	150 kW	blue	150
August-Horch-Stra_e 12	Mônchberg Germany	50.2027	11.7771	16/06/16	fastE	150 kW	blue	150
Mies-van-der-Rohe-Stra_e 1	Mônchen Germany	48.177	11.5915	02/09/16	fastE	150 kW	blue	150
Wilhelm-Bartelt-Strasse  3	Neuruppin Germany	52.8886	12.8108	31/07/15	fastE	150 kW	blue	150
An der Autobahn 4	Neustadt-Glewe Germany	53.3808	11.6264	20/07/17	fastE	150 kW	blue	150
Im Industriegebiet 1	Nossen Germany	51.0827	13.274	07/04/17	fastE	150 kW	blue	150
Westerwaldstrasse 10	Oberhonnefeld Germany	50.5624	7.52566	12/09/16	fastE	150 kW	blue	150
Posthalterweg  15	Oldenburg Germany	53.1614	8.1728	04/05/17	fastE	150 kW	blue	150
Regensburger Str. 37	Passau Germany	48.5744	13.4151	13/06/17	fastE	150 kW	blue	150
E40/A3 Liege-Aachen	Raeren Belgium	50.7171	6.11891	27/06/17	fastE	150 kW	blue	150
E40/A3 Aachen-Liege	Raeren Belgium	50.7183	6.11974	27/06/17	fastE	150 kW	blue	150
Junkerstra_e 3	Regensburg-Ost Germany	48.9948	12.1509	06/10/16	fastE	150 kW	blue	150
Siemensstra_e 6	Rhede (Ems) Germany	53.067	7.24257	24/02/17	fastE	150 kW	blue	150
Broekweg 267	Ruisbroek Belgium	50.7779	4.3014	13/05/16	fastE	150 kW	blue	150
Am Mittelfeld  5	Sangerhausen Germany	51.4508	11.3051	28/04/17	fastE	150 kW	blue	150
Marco-Polo-Stra_e  1	Satteldorf Germany	49.1814	10.0695	07/04/16	fastE	150 kW	blue	150
Bierweg  6	Schkeuditz Germany	51.3996	12.1917	30/10/15	fastE	150 kW	blue	150
 Wittgenstein 2	Schleswig-Busdorf Germany	54.4767	9.54457	22/12/16	fastE	150 kW	blue	150
Friedrich-R_tzer-Str. 3	Schweinfurt Germany	50.0279	10.2379	27/02/17	fastE	150 kW	blue	150
Robert-Koch-Stra_e 1	Schweitenkirchen Germany	48.5108	11.5824	22/12/15	fastE	150 kW	blue	150
Am Zainer Berg 2	Seesen Germany	51.9473	10.1408	26/07/16	fastE	150 kW	blue	150
